Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,41.05806,38.10162,30.21376,29.25496,13.90123,0,15,9,14,8
2,51.42548,48.62062,31.67331,27.35454,13.59915,1,16,15,0,0
3,46.02667,43.34125,28.38592,27.51445,15.53838,0,15,15,0,0
4,47.04999,43.34119,32.46277,29.92205,11.88053,0,15,15,5,5
All,185.5602,173.4047,122.7357,114.046,54.91929,1,61,54,19,13
