Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,65.75541,62.85923,31.43971,30.80041,12.72299,0,16,15,8,8
2,42.47466,39.8779,28.16769,26.96805,11.07429,0,15,15,3,3
3,44.91815,42.99522,26.06443,25.45701,13.48762,0,15,15,8,8
4,44.56958,40.715,30.94758,28.86273,11.50644,0,15,15,3,3
All,197.7178,186.4474,116.6194,112.0882,48.79134,0,61,60,22,22
