Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,44.27805,40.90778,30.64412,29.35097,14.18082,0,16,11,15,11
2,45.92587,42.06403,28.81392,27.16943,9.032343,0,19,15,15,15
3,36.07761,32.0408,27.13064,25.57003,20.25043,0,15,2,15,2
4,41.21155,36.99283,34.57386,31.36136,13.63019,0,15,6,15,6
All,167.4931,152.0054,121.1625,113.4518,57.09378,0,65,34,60,34
